PointID;HorizontID;Upper limit;Lower limit;Horizon symbol;Soil texture class;Soil colour;Stones;Carbonate class;Organic matter content class;Rooting intensity
2;1;0;28;"I; Ap";Sl2;7.5YR 3/2;3;C0;h3;Wf4
2;2;28;54;"I; E";Sl2;10YR 3/3;3;C0;h2;Wf3
2;3;54;68;"II; Bv";Sl2;7.5YR 4/3;10;C0;h1;Wf3
2;4;68;96;"III; Bv-ilCv";fSms;7.5YR 6/4;1;C0;h0;Wf2
2;5;96;201;"III; ilCv";mSfs;10YR 7/4;1;C0;h0;
3;1;0;12;"I; tbSw-Ah";Ls3;10YR 4/2;0;C0;h3;Wf6
3;2;12;30;"I; tbSw-rAp";Ls2;10YR 4/2;0;C0;h2;Wf4
3;3;30;54;"I; tbrGo-Sw";Ls4;2.5Y 5/1;0;C0;h1;Wf2
3;4;54;125;"I; tbGo-Sd";Lu;5Y 5/1;0;C0;h1;
3;5;125;160;"II; tmGor";Su3;5Y 5/1;0;C0;h1;
3;6;160;201;"II; tmeGr";Su3;GLEY1 4/5GY;0;C3.2;h1;
4;1;0;30;"I; Sw-tbAp";Tu3;5Y 5/2;0;C0;h3;Wf4
4;2;30;74;"I; tbSq";Tu3;5Y 5/1;0;C0;h1;Wf3
4;3;74;140;"I; tbGro";Tu4;5Y 6/1;0;C0;h0;Wf1
4;4;140;200;"I; tbGr";Tu4;GLEY1 5/N;0;C0;h0;
5;1;0;9;"I; Aeh";fSms;10YR 3/1;0;C0;h3;Wf6
5;2;9;30;"I; rAep";fSms;10YR 4/1;1;C0;h2;Wf5
5;3;30;54;"I; oCv";fSms;10YR 4/2;0;C0;h2;Wf2
5;4;54;58;"II; fOh";NA;10YR 2/1;0;C0;NA;Wf2
5;5;58;62;"II; Aeh";fSms;7.5YR 2.5/1;0;C0;h5;Wf2
5;6;62;69;"II; Ae";fSms;10YR 6/1;0;C0;h1;Wf2
5;7;69;80;"II; fBsh°Go";fSms;5YR 3/2;0;C0;h3;Wf1
5;8;80;90;"II; fBs°Go";fSms;5YR 4/3;0;C0;h2;Wf1
6;1;0;8;"I; R-aAh";Su2;5YR 3/3;1;C0;h3;Wf6
6;2;8;30;"I; R+arAp";Su2;5YR 3/3;1;C0;h3;Wf3
6;3;30;50;"I; R+aGso+aGr";mSfs;10YR 6/2;1;C0;h1;Wf1
6;4;50;70;"I; R+aGr+aGso";mSfs;5YR 3/2;1;C0;h4;Wf1
6;5;70;120;"I; R+aGo+aGso";mS;10YR 6/6;1;C0;h1;Wf0
6;6;120;170;"II; aGr1";mSgs;2.5Y 6/1;1;C0;h0;Wf0
6;7;170;201;"II; aGr2";fSms;2.5Y 6/1;1;C0;h0;Wf0
7;1;0;27;"I; tbAp";Lt2;10YR 3/2;0;C0;h3;Wf3
7;2;27;39;"II; tbSq1";Tu3;2.5Y 5/4;0;C0;h2;Wf3
7;3;39;48;"II; tbSq2";Tu3;2.5Y 3/2;0;C0;h2;Wf3
7;4;48;74;"II; tbGro";Tu3;2.5Y 5/2;0;C0;h2;Wf2
7;5;74;120;"III; tbGor";Ut4;5Y 5/1;0;C0;h2;Wf0
7;6;120;130;"III; tbGr";Ut4;5Y 3/1;0;C0;h3;Wf0
7;7;130;201;"IV; nHr";Hn;10YR 2/1;0;C0;h7;Wf0
8;1;0;14;"I; tbAp";Sl4;10YR 3/1;0;C0;h3;Wf4
8;2;14;30;"I; tbAp-Go";Sl4;10YR 3/1;0;C0;h3;Wf3
8;3;30;40;"II; fAh+ilCv";Su2;10YR 4/2;0;C0;h2;Wf2
8;4;40;67;"III; fAeh°Go";fSms;7.5YR 3/1;0;C0;h3;Wf1
8;5;67;82;"III; fBsh°Go";fSms;5YR 2.5/1;0;C0;h3;Wf1
8;6;82;100;"III; fBs°Gw";Su2;7.5YR 4/6;0;C0;h0;
8;7;100;125;"III; Gr";Su2;10YR 4/4;0;C0;h0;
8;8;125;176;"IV; nHr";Hn;10YR 3/4;0;C0;h7;
10;1;0;30;"I; Ap";fSms;10YR 2/1;1;C0;h4;Wf3
10;2;30;50;"I; Go-Bhs";fSms;5YR 3/4;3;C0;h1;Wf2
10;3;50;70;"I; Bs-Go1";fS;10YR 5/6;1;C0;h0;Wf1
10;4;70;115;"I; Bs-Go2";fSms;5YR 3/4;1;C0;h0;Wf0
10;5;115;167;"II; Gor";Su2;2.5YR 5/4;15;C0;h0;Wf0
10;6;167;201;"II; Gr";Sl2;5Y 4/1;2;C0;h0;Wf0
11;1;0;12;"I; Aeh";fSms;7.5YR 3/1;0;C0;h4;Wf6
11;2;12;27;"I; Go-rAp";fSms;7.5YR 3/1;0;C0;h4;Wf4
11;3;27;52;"I; Go";fSms;2.5Y 5/1;0;C0;h1;Wf2
11;4;52;70;"I; Gor";fSms;5Y 5/1;0;C0;h0;
11;5;70;201;"I; Gr";fS;5Y 4/1;0;C0;h0;
12;1;0;26;"I; jAp";Su2;10YR 3/2;3;C0;h4;Wf3
12;2;26;50;"II; fAp";Su2;10YR 2/1;4;C0;h5;Wf2
12;3;50;68;"II; Go-Bhs";mSfs;7.5YR 4/3;3;C0;h1;Wf1
12;4;68;115;"II; Gw";fSms;7.5YR 5/3;4;C0;h1;Wf0
12;5;115;165;"II; Gr";mSfs;2.5Y 4/2;4;C0;h0;Wf0
12;6;165;201;"II; oGr";mSfs;2.5Y 3/2;4;C0;h2;Wf0
14;1;0;30;"I; Aep";mSfs;7.5YR 3/1;1;C0;h3;Wf3
14;2;30;40;"I; rAep";mSfs;7.5YR 4/1;1;C0;h2;Wf1
14;3;40;54;"I; ilCv+Bsh+Bs";mSfs;5YR 3/3;1;C0;h2;Wf1
14;4;54;73;"I; Bhs+ilCv";mSfs;7.5YR 4/6;1;C0;h1;Wf0
14;5;73;140;"I; ilCv";mSfs;10YR 7/4;1;C0;h0;Wf0
14;6;140;201;"I; Gw";fSms;10YR 6/4;1;C0;h0;Wf0
15;1;0;33;"I; Ap";Sl3;10YR 3/3;4;C0;h3;Wf4
15;2;33;120;"I; M";Sl3;10YR 4/3;4;C0;h2;Wf3
15;3;120;130;"II; fAh";Sl3;10YR 3/2;3;C0;h3;
15;4;130;201;"III; Swd";Ls3;2.5Y 5/4;5;C0;h0;
16;1;0;33;"I; tmAp";Ls3;2.5Y 3/1;0;C0;h3;Wf4
16;2;33;59;"II; tmGo";Tu3;2.5Y 4/1;0;C0;h1;Wf3
16;3;59;71;"III; fnHw";Hnp;10YR 2/2;0;C0;h7;
16;4;71;97;"III; fnHr1";Hnp;10YR 2/1;0;C0;h7;
16;5;97;133;"III; fnHr2";Hnr;7.5YR 2.5/3;0;C1;h7;
16;6;133;160;"IV; tmGr1";fS;2.5Y 5/3;0;C0;h1;
16;7;160;201;"IV; tmGr2";Su2;5Y 6/1;0;C0;h0;
17;1;0;32;"I; tbGo-Ap";Tu3;2.5Y 3/2;0;C0;h3;Wf4
17;2;32;50;"I; tbGo";Tu3;2.5Y 4/2;0;C0;h2;Wf3
17;3;50;74;"I; tbGro";Tu3;2.5Y 4/1;0;C0;h2;Wf2
17;4;74;98;"I; tbGor";Tu3;5Y 4/1;0;C0;h3;Wf1
17;5;98;130;"II; fnHr1";Ha;10YR 3/2;0;C0;h7;
17;6;130;201;"II; fnHr2";Hnr;7.5YR 2.5/1;0;C0;h7;
18;1;0;33;"I; Ap";Su2;10YR 2/1;2;C0;h5;Wf4
18;2;33;42;"I; Go";Su2;10YR 5/3;10;C0;h1;Wf2
18;3;42;52;"II; Go";mSfs;10YR 6/3;2;C0;h1;Wf1
18;4;52;87;"II; Gro";mSgs;10YR 5/2;2;C0;h0;Wf0
18;5;87;140;"II; Gr";fSms;2.5Y 4/1;2;C0;h0;Wf0
18;6;140;175;"III; eGr";Ls4;5Y 5/1;2;C3.3;h0;Wf0
19;1;0;34;"I; Ap";fSms;10YR 2/1;2;C0;h4;Wf3
19;2;34;46;"I; Bh-Gw";fSms;7.5YR 4/2;2;C0;h1;Wf1
19;3;46;60;"I; Gw";mS;10YR 6/4;1;C0;h0;Wf0
19;4;60;168;"I; Gr";fSms;10YR 6/3;0;C0;h0;Wf0
19;5;168;185;"II; Gr";mSgs;2.5Y 5/3;10;C0;h1;Wf0
20;1;0;33;"I; Ap";Su2;10YR 2/1;8;C0;h4;Wf3
20;2;33;70;"I; Bhs-Bs";Su2;5YR 7/6;8;C0;h1;Wf2
20;3;70;96;"II; Bhs-Go1";mSfs;7.5YR 5/6;2;C0;h1;Wf0
20;4;96;105;"II; Bhs-Go2";mSgs;2.5YR 4/6;2;C0;h2;Wf0
20;5;105;145;"II; Go";mSfs;2.5YR 4/2;2;C0;h0;Wf0
20;6;145;190;"II; Gro";mSgs;10YR 5/2;5;C0;h0;Wf0
20;7;190;201;"II; Gr";mSgs;2.5Y 6/2;5;C0;h0;Wf0
21;1;0;30;"I; Ap";Sl2;7.5YR 2.5/1;5;C0;h4;Wf4
21;2;30;40;"I; Bhs";Sl2;5Y 3/2;5;C0;h2;Wf2
21;3;40;48;"I; Sw-Bs";Sl3;2.5Y 5/3;5;C0;h0;Wf2
21;4;48;73;"II; Sd";Ls3;5Y 5/2;5;C0;h1;Wf1
21;5;73;160;"III; Swd";Sl3;2.5Y 5/2;5;C0;h0;
22;1;0;30;"I; Ap";Sl3;10YR 3/3;5;C0;h3;Wf4
22;2;30;67;"I; Sw";Sl3;10YR 3/3;18;C0;h1;Wf2
22;3;67;132;"II; Sd1";Sl4;10YR 5/4;15;C0;h0;Wf1
22;4;132;201;"II; Sd2";Ls4;10YR 5/4;5;C0;h0;
23;1;0;32;"I; Ap";Sl4;10YR 3/3;3;C0;h3;Wf3
23;2;32;42;"I; Ap+Al";Sl4;10YR 4/3;4;C0;h1;Wf2
23;3;42;54;"I; Bt-Swd";Ls3;10YR 5/4;4;C0;h1;Wf1
23;4;54;74;"I; Sd1";Ls3;10YR 5/6;4;C0;h0;Wf1
23;5;74;100;"I; Sd2";Ls3;2.5Y 5/4;5;C0;h0;Wf1
23;6;100;201;"II; Sd-ilCv";Lt2;NA;2;C0;h0;
24;1;0;32;"I; Ap";Sl4;10YR 3/3;5;C0;h3;Wf3
24;2;32;50;"I; Al-Sw";Ls4;2.5Y 5/4;5;C0;h1;Wf2
24;3;50;73;"II; Bt-Sd";Ls3;10YR 4/4;4;C0;h0;Wf1
24;4;73;152;"II; Sd";Ls3;2.5Y 5/4;4;C0;h0;
24;5;152;201;"III; lCv";Ls3;2.5Y 6/3;3;C3.4;h0;
25;1;0;12;"I; Ah";Sl4;10YR 3/2;4;C0;h3;Wf5
25;2;12;34;"I; rAp";Sl4;10YR 3/2;4;C0;h3;Wf4
25;3;34;51;"II; fAh";Sl4;10YR 4/2;4;C0;h3;Wf3
25;4;51;73;"II; Swd1";Ls4;2.5Y 5/3;5;C0;h0;Wf2
25;5;73;100;"II; Swd2";Sl4;2.5Y 5/2;5;C0;h0;Wf1
25;6;100;155;"III; ilCv-Sd";Ls3;2.5Y 5/3;3;C0;h0;
25;7;155;180;"IV; elCv-Sd1";Ls3;2.5Y 6/3;3;C3.2;h0;
25;8;180;201;"IV; elCv-Sd2";Ls3;2.5Y 6/3;3;C3.4;h0;
27;1;0;30;"I; Aep";fSms;7.5YR 4/1;0;C0;h3;Wf3
27;2;30;46;"I; Bh-Aeh";fSms;7.5YR 3/1;0;C0;h3;Wf2
27;3;46;60;"I; Bsh";fSms;5YR 3/3;0;C0;h2;Wf2
27;4;60;73;"I; Bs";fSms;7.5YR 4/6;0;C0;h1;Wf2
27;5;73;83;"I; Bbs+ilCv";fSms;7.5YR 5/6;0;C0;h1;Wf2
27;6;83;96;"I; ilCv";fSms;10YR 6/6;0;C0;h0;Wf0
27;7;96;136;"I; Gw";fSms;2.5Y 6/4;0;C0;h0;Wf0
27;8;136;200;"I; Gr";fSms;2.5Y 7/3;0;C0;h0;Wf0
28;1;0;33;"I; Ap";fS;7.5YR 2.5/1;0;C0;h4;Wf2
28;2;33;40;"I; Bhs";fS;5YR 3/3;0;C0;h1;Wf1
28;3;40;66;"I; Bbh+Bs+ilCv";fSms;10YR 5/6;0;C0;h1;Wf0
28;4;66;88;"II; rGo";fS;10YR 6/4;0;C0;h0;Wf0
28;5;88;116;"II; Go";fSms;10YR 7/4;0;C0;h0;Wf0
28;6;116;140;"II; Gw";fSms;2.5Y 7/4;0;C0;h0;Wf0
28;7;140;201;"II; Gr";fSms;2.5Y 6/3;0;C0;h0;Wf0
29;1;0;12;"I; Aeh";mSfs;10YR 2/1;2;C0;h5;Wf6
29;2;12;26;"I; rAep";mSfs;10YR 2/1;2;C0;h5;Wf4
29;3;26;46;"II; Bhs";mSfs;5YR 3/3;2;C0;h2;Wf2
29;4;46;67;"II; Bs-Gw";mSfs;2.5Y 5/3;2;C0;h1;
29;5;67;100;"III; Gr1";fS;2.5Y 4/4;0;C0;h0;
29;6;100;201;"III; Gr2";fS;2.5Y 4/2;0;C0;h0;
30;1;0;30;"I; Ap";Sl2;10YR 3/2;20;C0;h3;Wf3
30;2;30;48;"I; Swd-Bv";Sl2;10YR 5/6;20;C0;h0;Wf2
30;3;48;74;"II; Bv";Sl2;10YR 5/4;70;C0;h0;Wf1
30;4;74;140;"III; Cv1";Sl2;10YR 6/6;5;C0;h0;Wf0
30;5;140;201;"III; Cv2";Su2;10YR 6/6;5;C0;h0;Wf0
31;1;0;33;"I; Ap";Sl3;10YR 3/3;5;C0;h3;Wf4
31;2;33;46;"II; fAh";Sl3;10YR 3/3;3;C0;h2;Wf3
31;3;46;70;"III; Sw";Slu;10YR 4/4;2;C0;h1;Wf2
31;4;70;83;"IV; Sd";Ls2;2.5Y 5/4;1;C0;h0;Wf2
31;5;83;150;"V; ilCv-Sw";mSfs;2.5Y 6/3;5;C0;h0;Wf1
31;6;150;201;"VI; ilCv-Sd";Ls4;10YR 5/3;2;C0;h0;
32;1;0;10;"I; Ah";Ls3;10YR 3/3;3;C0;h3;Wf6
32;2;10;28;"I; rAp";Ls3;2.5Y 5/3;3;C0;h3;Wf4
32;3;28;46;"II; Bv-Sdw";Ls3;2.5Y 5/2;5;C0;h1;Wf3
32;4;46;85;"II; Sd";Ls3;2.5Y 5/2;3;C0;h0;Wf1
32;5;85;201;"III; eSd";Ls3;2.5Y 5/3;3;C3.4;h0;Wf0
33;1;0;30;"I; Ap";Ls4;10YR 3/3;3;C0;h3;Wf4
33;2;30;48;"I; Sw-Al";Ls4;10YR 4/6;4;C0;h1;Wf3
33;3;48;72;"II; Sd-Bt";Ls3;10YR 4/4;4;C0;h0;Wf2
33;4;72;118;"II; Sd";Ls3;2.5Y 5/3;4;C0;h0;Wf1
33;5;118;140;"III; eSd-lCv";Ls4;2.5Y 5/4;3;C3.4;h0;
33;6;140;201;"IV; elCv";Sl2;10YR 5/4;3;C3.4;h0;
35;1;0;34;"I; tmAp";Tu3;10YR 3/2;0;C0;h3;Wf4
35;2;34;70;"I; tmerGo";Tu3;10YR 4/2;0;C3.3;h1;Wf2
35;3;70;120;"I; tmeGo1";Lu;2.5Y 4/2;0;C3.3;h1;
35;4;120;170;"I; tmeGo2";Slu;2.5Y 5/3;0;C3.3;h1;
35;5;170;201;"I; tmeGr";Uls;GLEY2 5/5B;0;C3.3;h1;
36;1;0;12;"I; Ah";Sl2;10YR 3/1;5;C0;h3;Wf5
36;2;12;33;"I; rAp";Sl2;10YR 3/1;5;C0;h3;Wf4
36;3;33;48;"I; Sw-Bhs-Ae";Su2;7.5YR 4/2;5;C0;h1;Wf2
36;4;48;66;"I; Bs-Sw";Su2;7.5YR 4/4;5;C0;h1;Wf1
36;5;66;125;"II; Sd";Ls4;2.5Y 6/2;3;C0;h0;Wf0
36;6;125;201;"II; ilCv";Ls4;2.5Y 5/3;3;C0;h0;Wf0
37;1;0;12;"I; Ah";fSms;7.5YR 2.5/1;5;C0;h4;Wf6
37;2;12;33;"I; rAp";fSms;7.5YR 3/1;5;C0;h3;Wf4
37;3;33;50;"I; Bhs";fSms;5YR 4/3;15;C0;h2;Wf4
37;4;50;66;"I; Bs+ilCv";fSms;7.5YR 5/6;5;C0;h1;Wf3
37;5;66;110;"II; Go";fSms;10YR 7/6;1;C0;h0;Wf1
37;6;110;201;"II; Gr";fSms;2.5Y 7/4;1;C0;h0;
38;1;0;30;"I; R-Ap";fSms;5YR 3/1;0;C0;h3;Wf3
38;2;30;52;"I; R+rGo-Bsh";fSms;7.5YR 5/6;0;C0;h2;Wf2
38;3;52;74;"I; rGo";fSms;10YR 6/4;0;C0;h0;Wf0
38;4;74;105;"I; Gw1";fSms;10YR 7/3;0;C0;h0;
38;5;105;150;"I; Gw2";mSfs;2.5Y 7/3;0;C0;h0;
38;6;150;201;"I; Gr";mSfs;2.5Y 6/3;0;C0;h0;
41;1;0;32;"I; Ap";Sl3;10YR 3/3;5;C0;h3;Wf4
41;2;32;40;"I; Bv-Sw";Sl2;10YR 5/4;5;C0;h1;Wf2
41;3;40;54;"I; Sw";Sl2;2.5Y 6/2;5;C0;h0;Wf2
41;4;54;74;"II; Sd1";Sl4;2.5Y 6/3;10;C0;h0;Wf0
41;5;74;170;"II; Sd2";Ls4;2.5Y 6/3;10;C0;h0;Wf0
41;6;170;201;"II; Swd-Cv";Ls4;2.5Y 5/4;2;C0;h0;Wf0
42;1;0;34;"I; Ap";Sl3;10YR 3/3;5;C0;h3;Wf4
42;2;34;66;"I; M";Sl3;7.5YR 3/3;5;C0;h2;Wf3
42;3;66;85;"II; fBv-Alh";Su3;7.5YR 4/3;2;C0;h2;Wf2
42;4;85;110;"II; fBvt";Ls3;7.5YR 5/4;2;C0;h1;Wf1
42;5;110;201;"II; ilCv";Ls3;7.5YR 5/6;2;C0;h0;
43;1;0;12;"I; Ah";Ls4;10YR 3/3;4;C0;h3;Wf5
43;2;12;30;"I; rAp";Ls4;10YR 3/3;4;C0;h3;Wf3
43;3;30;54;"II; Swd";Ls3;10YR 5/4;4;C0;h1;Wf2
43;4;54;115;"II; Sd";Ls3;2.5Y 6/3;4;C0;h0;Wf1
43;5;115;201;"III; Sd-elCv";Ls3;2.5Y 5/3;3;C3.4;h0;
44;1;0;34;"I; Sw-Ap";Sl4;10YR 3/2;3;C0;h3;Wf3
44;2;34;48;"I; Swd-Ap";Sl4;10YR 3/2;3;C0;h3;Wf3
44;3;48;130;"II; Sd";Ls2;10YR 6/6;3;C0;h0;Wf2
44;4;130;160;"III; Go";fSms;2.5Y 7/2;0;C0;h0;Wf0
44;5;160;200;"III; Gr";fSms;5Y 7/2;0;C0;h0;Wf0
46;1;0;38;"I; tmAp";Ut3;10YR 3/2;0;C2;h3;Wf2
46;2;38;66;"I; tmerGo";Slu;2.5Y 5/2;0;C3.4;h0;Wf2
46;3;66;96;"I; tmeGo";Uls;2.5Y 5/1;0;C3.4;h0;Wf1
46;4;96;160;"I; tmeGor";Uls;5Y 5/1;0;C3.4;h0;
46;5;160;201;"I; tmeGr";Lu;GLEY1 3/5GY;0;C3.4;h2;
48;1;0;30;"I; Ap";Su2;10YR 3/3;5;C0;h3;Wf4
48;2;30;54;"I; Bv+Ah";Su2;7.5YR 4/4;5;C0;h1;Wf2
48;3;54;96;"II; ilCv-Bv";fSms;10YR 6/4;2;C0;h0;Wf1
48;4;96;201;"II; ilCv";fSms;10YR 7/4;0;C0;h0;Wf0
49;1;0;34;"I; Ap";Sl3;10YR 2/1;5;C0;h4;Wf3
49;2;34;54;"I; Bhs-Sw";Sl3;7.5YR 4/2;4;C0;h2;Wf3
49;3;54;70;"II; Sdw";Sl3;2.5Y 6/3;3;C0;h1;Wf2
49;4;70;110;"II; Swd1";Sl3;10YR 5/4;3;C0;h0;Wf1
49;5;110;160;"II; Swd2";Ls4;2.5Y 5/4;3;C0;h0;
49;6;160;177;"II; Sdw-ilCv";Sl4;2.5Y 6/4;3;C0;h0;
49;7;177;201;"III; elCv";Sl4;2.5Y 6/4;3;C3.4;h0;
50;1;0;26;"I; Ap";fSms;7.5YR 2.5/2;4;C0;h3;Wf3
50;2;26;40;"I; Cv+rAp";fSms;7.5YR 4/1;4;C0;h2;Wf3
50;3;40;50;"I; Bsh";fSms;5YR 4/3;4;C0;h1;Wf3
50;4;50;80;"I; Bsv";fSms;10YR 6/6;8;C0;h1;Wf2
50;5;80;200;"I; rGo";fSms;2.5Y 7/6;2;C0;h0;Wf1
52;1;0;33;"I; Ap";mSfs;10YR 3/1;5;C0;h3;Wf3
52;2;33;72;"I; M";mSfs;10YR 3/2;5;C0;h3;Wf3
52;3;72;201;"II; ilCv";mSfs;10YR 6/4;3;C0;h0;Wf0
55;1;0;33;"I; Ap";Ls4;10YR 2/1;4;C0;h3;Wf4
55;2;33;60;"II; Swd";Ls3;2.5Y 4/2;5;C0;h0;Wf4
55;3;60;74;"III; eSwd1";Ls3;2.5Y 5/4;5;C4;h0;Wf3
55;4;74;115;"III; eSwd2";Ls3;2.5Y 5/3;5;C4;h0;Wf2
55;5;115;201;"III; eSd-Cv";Ls3;2.5Y 5/4;5;C4;h0;
57;1;0;30;"I; Ap";Sl4;10YR 3/3;2;C0;h3;Wf4
57;2;30;42;"I; rAp-Sw";Sl4;10YR 4/3;2;C2;h2;Wf3
57;3;42;50;"II; Sd";Ls4;2.5Y 4/4;2;C2;h1;Wf2
57;4;50;201;"II; eSd";Ls4;2.5Y 6/2;2;C3.3;h0;Wf1
58;1;0;10;"I; tbAh";Tu3;10YR 4/2;0;C0;h4;Wf6
58;2;10;20;"I; tbGo-Ah";Tu3;10YR 4/2;0;C0;h4;Wf4
58;3;20;28;"I; tbGo-rAp";Tu3;10YR 5/1;0;C0;h2;Wf3
58;4;28;32;"I; tbGro";Tu3;2.5Y 5/1;0;C0;h0;Wf1
58;5;32;40;"II; tbGro";Ut2;5Y 5/1;0;C0;h0;Wf1
58;6;40;48;"III; fnHw1";Ha;10YR 2/1;0;C0;h7;Wf1
58;7;48;66;"III; fnHw2";Hnr;2.5Y 3/2;0;C0;h7;
58;8;66;100;"III; fnHr1";Hnr;2.5Y 3/2;0;C0;h7;
59;1;0;34;"I; Ap";Sl2;7.5YR 3/2;5;C0;h3;Wf3
59;2;34;46;"I; Bv";Sl2;7.5R 4/3;5;C0;h1;Wf3
59;3;46;70;"I; ilCv-Bv";Su2;10YR 5/6;5;C0;h0;Wf3
59;4;70;96;"I; Sdw-ilCv";Sl2;10YR 6/6;5;C0;h0;Wf1
59;5;96;188;"II; Sw-ilCv";mSfs;10YR 7/3;1;C0;h0;Wf0
59;6;188;201;"II; Sd-ilCv";Sl3;10YR 6/4;1;C0;h0;
60;1;0;10;"I; tpGo-Ah";Tu2;10YR 3/3;0;C0;h5;Wf6
60;2;10;20;"I; tpGo";Tu2;10YR 4/2;0;C0;h3;Wf5
60;3;20;46;"II; fnHv";Hnp;10YR 2/1;0;C0;h7;Wf3
60;4;46;74;"II; fnHw";Hnp;10YR 2/2;0;C0;h7;
60;5;74;148;"II; fnHr";Hnr;10YR 2/2;0;C0;h7;
60;6;148;201;"III; Gr";mSfs;5Y 3/2;2;C0;h2;
62;1;0;10;"I; Ah";Su2;10YR 2/1;0;C0;h5;Wf5
62;2;10;26;"I; rAp";Su2;10YR 2/1;0;C0;h4;Wf4
62;3;26;48;"I; Go-Bhs";mSfs;5YR 3/2;0;C0;h3;Wf2
62;4;48;68;"I; Bhs-Go";mSfs;7.5YR 5/4;0;C0;h1;Wf1
62;5;68;100;"I; Gw";mSfs;7.5YR 5/4;0;C0;h0;
62;6;100;201;"I; Gr";mSfs;7.5YR 4/4;0;C0;h0;
63;1;0;12;"I; Ah";Sl2;10YR 3/3;5;C0;h3;Wf6
63;2;12;30;"I; rAp";Sl2;10YR 3/3;5;C0;h2;Wf4
63;3;30;54;"I; Bvt";Sl3;10YR 5/4;5;C0;h1;Wf3
63;4;54;74;"I; Swd-Bt";Sl4;10YR 5/4;4;C0;h0;Wf2
63;5;74;131;"I; Swd";Sl3;2.5Y 5/4;4;C0;h0;Wf1
63;6;131;201;"I; Go";Sl2;2.5Y 5/3;3;C0;h0;
64;1;0;30;"I; Ap";Sl3;10YR 3/3;4;C0;h3;Wf3
64;2;30;52;"I; Sw-Al";Sl3;10YR 5/4;5;C0;h1;Wf2
64;3;52;74;"II; Swd-Bt";Sl4;7.5YR 6/4;3;C0;h0;Wf2
64;4;74;160;"III; ilCv";mSfs;10YR 6/4;3;C0;h0;
64;5;160;201;"IV; ilCv";Sl4;10YR 5/4;3;C0;h0;
65;1;0;34;"I; Ap";Sl2;10YR 3/3;3;C0;h3;Wf4
65;2;34;50;"I; Al";Sl3;10YR 3/4;3;C0;h1;Wf3
65;3;50;70;"I; Sw-Al";Sl3;10YR 3/4;3;C0;h1;Wf3
65;4;70;105;"II; Bt-Sd";Ls3;10YR 4/4;5;C0;h0;Wf2
65;5;105;157;"III; Swd-ilCv";Sl4;10YR 5/4;3;C0;h0;
65;6;157;201;"IV; elCv";Ls3;10YR 5/3;3;C4;h0;
66;1;0;8;"I; Ah";Sl3;10YR 3/3;3;C0;h4;Wf6
66;2;8;26;"I; rAp";Sl3;10YR 3/4;3;C0;h3;Wf5
66;3;26;52;"I; Sw-M";Sl3;10YR 4/3;3;C0;h3;Wf3
66;4;52;74;"II; Swd";Ls4;2.5Y 5/4;3;C0;h1;Wf2
66;5;74;103;"III; Sw1";Su2;2.5Y 6/3;3;C0;h0;Wf1
66;6;103;163;"III; Sw2";fSms;2.5Y 6/3;2;C0;h0;
66;7;163;180;"IV; Sd";Ls4;2.5Y 6/2;2;C0;h0;
66;8;180;201;"V; Sd";fSms;2.5Y 6/3;2;C0;h0;
67;1;0;10;"I; Ah";Sl2;10YR 3/3;3;C2;h3;Wf5
67;2;10;32;"I; rAp";Sl2;10YR 5/4;3;C0;h3;Wf3
67;3;32;49;"I; Bv-Al";Sl2;10YR 5/4;2;C0;h1;Wf3
67;4;49;66;"I; Al";Sl2;10YR 6/4;1;C0;h0;Wf2
67;5;66;163;"II; Bt";Ls4;10YR 5/4;5;C0;h0;Wf1
67;6;163;201;"II; ilCv";Ls4;10YR 5/3;2;C0;h0;
68;1;0;30;"I; Axp";Sl4;10YR 3/1;2;C0;h3;Wf4
68;2;30;48;"I; Axh";Sl4;10YR 3/1;2;C0;h3;Wf2
68;3;48;67;"I; Axh+Sw";Sl4;2.5Y 5/3;2;C0;h1;Wf2
68;4;67;98;"II; eSd";Ls3;2.5Y 5/2;2;C3.4;h0;Wf1
68;5;98;130;"III; elCv";Sl3;10YR 5/4;2;C3.4;h0;
68;6;130;165;"IV; elCv1";Ls4;10YR 5/4;2;C3.4;h0;
68;7;165;201;"IV; elCv2";Lt2;2.5Y 5/3;2;C3.4;h0;
69;1;0;30;"I; Ap";Lt3;10YR 3/2;4;C0;h4;Wf4
69;2;30;40;"I; Swd";Lts;2.5Y 5/2;4;C0;h1;Wf3
69;3;40;54;"II; eSd-lCv";Lts;2.5Y 5/2;4;C4;h0;Wf2
69;4;54;201;"III; Sd-ilCv";Tt;2.5Y 5/3;0;C0;h0;
71;1;0;34;"I; Ap";Sl2;10YR 3/3;3;C0;h3;Wf4
71;2;34;50;"I; Sw-Al";Sl2;10YR 5/3;3;C0;h0;Wf2
71;3;50;105;"II; Sd-Bt";Ls3;10YR 4/4;3;C0;h0;Wf1
71;4;105;145;"II; Sd";Ls4;2.5Y 5/4;2;C0;h0;
71;5;145;201;"II; elC";Ls4;2.5Y 6/4;2;C3.3;h0;
72;1;0;30;"I; Ap";Su2;10YR 3/2;1;C0;h3;Wf4
72;2;30;50;"I; rGo-rAp";Su2;10YR 3/2;1;C0;h3;Wf3
72;3;50;74;"I; Go";fSms;2.5Y 5/2;1;C0;h0;Wf2
72;4;74;98;"I; Gro";mSfs;2.5Y 5/2;1;C0;h0;
